A1: 3 MB malloc, 13 MB malloc, -5 MB malloc, 18 MB malloc, 16 MB malloc, 0 MB malloc, 2 MB malloc, 19 MB malloc, 23 MB malloc, 6 MB malloc
A299: 26 MB malloc, 27 MB malloc, 27 MB malloc, 32 MB malloc, 30 MB malloc, 32 MB malloc, 34 MB malloc, 33 MB malloc, 37 MB malloc, 38 MB malloc
A300: 6 MB malloc, 14 MB malloc, 0 MB malloc, 19 MB malloc, 17 MB malloc, 5 MB malloc, 7 MB malloc, 20 MB malloc, 24 MB malloc, 11 MB malloc
A301: 11 MB malloc, 17 MB malloc, 7 MB malloc, 22 MB malloc, 20 MB malloc, 12 MB malloc, 14 MB malloc, 23 MB malloc, 27 MB malloc, 18 MB malloc
A302: 15 MB malloc, 16 MB malloc, 16 MB malloc, 21 MB malloc, 19 MB malloc, 21 MB malloc, 23 MB malloc, 22 MB malloc, 26 MB malloc, 27 MB malloc
A303: 28 MB malloc, 31 MB malloc, 27 MB malloc, 36 MB malloc, 34 MB malloc, 32 MB malloc, 34 MB malloc, 37 MB malloc, 41 MB malloc, 38 MB malloc
A304: 28 MB malloc, 33 MB malloc, 25 MB malloc, 38 MB malloc, 36 MB malloc, 30 MB malloc, 32 MB malloc, 39 MB malloc, 43 MB malloc, 36 MB malloc
A305: 12 MB malloc, 13 MB malloc, 13 MB malloc, 18 MB malloc, 16 MB malloc, 18 MB malloc, 20 MB malloc, 19 MB malloc, 23 MB malloc, 24 MB malloc
A306: 29 MB malloc, 33 MB malloc, 27 MB malloc, 38 MB malloc, 36 MB malloc, 32 MB malloc, 34 MB malloc, 39 MB malloc, 43 MB malloc, 38 MB malloc
A307: 11 MB malloc, 19 MB malloc, 5 MB malloc, 24 MB malloc, 22 MB malloc, 10 MB malloc, 12 MB malloc, 25 MB malloc, 29 MB malloc, 16 MB malloc
A308: 22 MB malloc, 23 MB malloc, 23 MB malloc, 28 MB malloc, 26 MB malloc, 28 MB malloc, 30 MB malloc, 29 MB malloc, 33 MB malloc, 34 MB malloc
A309: 4 MB malloc, 5 MB malloc, 5 MB malloc, 10 MB malloc, 8 MB malloc, 10 MB malloc, 12 MB malloc, 11 MB malloc, 15 MB malloc, 16 MB malloc
A310: 13 MB malloc, 23 MB malloc, 5 MB malloc, 28 MB malloc, 26 MB malloc, 10 MB malloc, 12 MB malloc, 29 MB malloc, 33 MB malloc, 16 MB malloc
A311: 12 MB malloc, 14 MB malloc, 12 MB malloc, 19 MB malloc, 17 MB malloc, 17 MB malloc, 19 MB malloc, 20 MB malloc, 24 MB malloc, 23 MB malloc
A312: 23 MB malloc, 33 MB malloc, 15 MB malloc, 38 MB malloc, 36 MB malloc, 20 MB malloc, 22 MB malloc, 39 MB malloc, 43 MB malloc, 26 MB malloc
A313: 17 MB malloc, 20 MB malloc, 16 MB malloc, 25 MB malloc, 23 MB malloc, 21 MB malloc, 23 MB malloc, 26 MB malloc, 30 MB malloc, 27 MB malloc
A314: 21 MB malloc, 22 MB malloc, 22 MB malloc, 27 MB malloc, 25 MB malloc, 27 MB malloc, 29 MB malloc, 28 MB malloc, 32 MB malloc, 33 MB malloc
A315: 6 MB malloc, 7 MB malloc, 7 MB malloc, 12 MB malloc, 10 MB malloc, 12 MB malloc, 14 MB malloc, 13 MB malloc, 17 MB malloc, 18 MB malloc
A316: 11 MB malloc, 13 MB malloc, 11 MB malloc, 18 MB malloc, 16 MB malloc, 16 MB malloc, 18 MB malloc, 19 MB malloc, 23 MB malloc, 22 MB malloc
A317: 24 MB malloc, 26 MB malloc, 24 MB malloc, 31 MB malloc, 29 MB malloc, 29 MB malloc, 31 MB malloc, 32 MB malloc, 36 MB malloc, 35 MB malloc
A318: 11 MB malloc, 12 MB malloc, 12 MB malloc, 17 MB malloc, 15 MB malloc, 17 MB malloc, 19 MB malloc, 18 MB malloc, 22 MB malloc, 23 MB malloc
A319: 25 MB malloc, 31 MB malloc, 21 MB malloc, 36 MB malloc, 34 MB malloc, 26 MB malloc, 28 MB malloc, 37 MB malloc, 41 MB malloc, 32 MB malloc
A320: 1 MB malloc, 2 MB malloc, 2 MB malloc, 7 MB malloc, 5 MB malloc, 7 MB malloc, 9 MB malloc, 8 MB malloc, 12 MB malloc, 13 MB malloc
A321: 6 MB malloc, 8 MB malloc, 6 MB malloc, 13 MB malloc, 11 MB malloc, 11 MB malloc, 13 MB malloc, 14 MB malloc, 18 MB malloc, 17 MB malloc
A322: 17 MB malloc, 20 MB malloc, 16 MB malloc, 25 MB malloc, 23 MB malloc, 21 MB malloc, 23 MB malloc, 26 MB malloc, 30 MB malloc, 27 MB malloc
A323: 24 MB malloc, 26 MB malloc, 24 MB malloc, 31 MB malloc, 29 MB malloc, 29 MB malloc, 31 MB malloc, 32 MB malloc, 36 MB malloc, 35 MB malloc
A324: 22 MB malloc, 26 MB malloc, 20 MB malloc, 31 MB malloc, 29 MB malloc, 25 MB malloc, 27 MB malloc, 32 MB malloc, 36 MB malloc, 31 MB malloc
A325: 20 MB malloc, 21 MB malloc, 21 MB malloc, 26 MB malloc, 24 MB malloc, 26 MB malloc, 28 MB malloc, 27 MB malloc, 31 MB malloc, 32 MB malloc
A326: 18 MB malloc, 24 MB malloc, 14 MB malloc, 29 MB malloc, 27 MB malloc, 19 MB malloc, 21 MB malloc, 30 MB malloc, 34 MB malloc, 25 MB malloc
A327: 24 MB malloc, 26 MB malloc, 24 MB malloc, 31 MB malloc, 29 MB malloc, 29 MB malloc, 31 MB malloc, 32 MB malloc, 36 MB malloc, 35 MB malloc
A328: 3 MB malloc, 8 MB malloc, 0 MB malloc, 13 MB malloc, 11 MB malloc, 5 MB malloc, 7 MB malloc, 14 MB malloc, 18 MB malloc, 11 MB malloc
A329: 13 MB malloc, 18 MB malloc, 10 MB malloc, 23 MB malloc, 21 MB malloc, 15 MB malloc, 17 MB malloc, 24 MB malloc, 28 MB malloc, 21 MB malloc
A330: 15 MB malloc, 17 MB malloc, 15 MB malloc, 22 MB malloc, 20 MB malloc, 20 MB malloc, 22 MB malloc, 23 MB malloc, 27 MB malloc, 26 MB malloc
A331: 4 MB malloc, 8 MB malloc, 2 MB malloc, 13 MB malloc, 11 MB malloc, 7 MB malloc, 9 MB malloc, 14 MB malloc, 18 MB malloc, 13 MB malloc
A332: 29 MB malloc, 35 MB malloc, 25 MB malloc, 40 MB malloc, 38 MB malloc, 30 MB malloc, 32 MB malloc, 41 MB malloc, 45 MB malloc, 36 MB malloc
A333: 14 MB malloc, 15 MB malloc, 15 MB malloc, 20 MB malloc, 18 MB malloc, 20 MB malloc, 22 MB malloc, 21 MB malloc, 25 MB malloc, 26 MB malloc
A334: 22 MB malloc, 23 MB malloc, 23 MB malloc, 28 MB malloc, 26 MB malloc, 28 MB malloc, 30 MB malloc, 29 MB malloc, 33 MB malloc, 34 MB malloc
A335: 19 MB malloc, 22 MB malloc, 18 MB malloc, 27 MB malloc, 25 MB malloc, 23 MB malloc, 25 MB malloc, 28 MB malloc, 32 MB malloc, 29 MB malloc
A336: 29 MB malloc, 34 MB malloc, 26 MB malloc, 39 MB malloc, 37 MB malloc, 31 MB malloc, 33 MB malloc, 40 MB malloc, 44 MB malloc, 37 MB malloc
A337: 30 MB malloc, 33 MB malloc, 29 MB malloc, 38 MB malloc, 36 MB malloc, 34 MB malloc, 36 MB malloc, 39 MB malloc, 43 MB malloc, 40 MB malloc
A338: 22 MB malloc, 23 MB malloc, 23 MB malloc, 28 MB malloc, 26 MB malloc, 28 MB malloc, 30 MB malloc, 29 MB malloc, 33 MB malloc, 34 MB malloc
A339: 19 MB malloc, 20 MB malloc, 20 MB malloc, 25 MB malloc, 23 MB malloc, 25 MB malloc, 27 MB malloc, 26 MB malloc, 30 MB malloc, 31 MB malloc
A340: 30 MB malloc, 31 MB malloc, 31 MB malloc, 36 MB malloc, 34 MB malloc, 36 MB malloc, 38 MB malloc, 37 MB malloc, 41 MB malloc, 42 MB malloc
A341: 29 MB malloc, 30 MB malloc, 30 MB malloc, 35 MB malloc, 33 MB malloc, 35 MB malloc, 37 MB malloc, 36 MB malloc, 40 MB malloc, 41 MB malloc
A342: 27 MB malloc, 28 MB malloc, 28 MB malloc, 33 MB malloc, 31 MB malloc, 33 MB malloc, 35 MB malloc, 34 MB malloc, 38 MB malloc, 39 MB malloc
A343: 25 MB malloc, 26 MB malloc, 26 MB malloc, 31 MB malloc, 29 MB malloc, 31 MB malloc, 33 MB malloc, 32 MB malloc, 36 MB malloc, 37 MB malloc
A344: 5 MB malloc, 8 MB malloc, 4 MB malloc, 13 MB malloc, 11 MB malloc, 9 MB malloc, 11 MB malloc, 14 MB malloc, 18 MB malloc, 15 MB malloc
A345: 15 MB malloc, 19 MB malloc, 13 MB malloc, 24 MB malloc, 22 MB malloc, 18 MB malloc, 20 MB malloc, 25 MB malloc, 29 MB malloc, 24 MB malloc
A346: 23 MB malloc, 28 MB malloc, 20 MB malloc, 33 MB malloc, 31 MB malloc, 25 MB malloc, 27 MB malloc, 34 MB malloc, 38 MB malloc, 31 MB malloc
A347: 2 MB malloc, 4 MB malloc, 2 MB malloc, 9 MB malloc, 7 MB malloc, 7 MB malloc, 9 MB malloc, 10 MB malloc, 14 MB malloc, 13 MB malloc
A348: 25 MB malloc, 27 MB malloc, 25 MB malloc, 32 MB malloc, 30 MB malloc, 30 MB malloc, 32 MB malloc, 33 MB malloc, 37 MB malloc, 36 MB malloc
A349: 25 MB malloc, 27 MB malloc, 25 MB malloc, 32 MB malloc, 30 MB malloc, 30 MB malloc, 32 MB malloc, 33 MB malloc, 37 MB malloc, 36 MB malloc
A350: 28 MB malloc, 30 MB malloc, 28 MB malloc, 35 MB malloc, 33 MB malloc, 33 MB malloc, 35 MB malloc, 36 MB malloc, 40 MB malloc, 39 MB malloc
A351: 12 MB malloc, 13 MB malloc, 13 MB malloc, 18 MB malloc, 16 MB malloc, 18 MB malloc, 20 MB malloc, 19 MB malloc, 23 MB malloc, 24 MB malloc
A352: 29 MB malloc, 31 MB malloc, 29 MB malloc, 36 MB malloc, 34 MB malloc, 34 MB malloc, 36 MB malloc, 37 MB malloc, 41 MB malloc, 40 MB malloc
A353: 10 MB malloc, 12 MB malloc, 10 MB malloc, 17 MB malloc, 15 MB malloc, 15 MB malloc, 17 MB malloc, 18 MB malloc, 22 MB malloc, 21 MB malloc
A354: 11 MB malloc, 12 MB malloc, 12 MB malloc, 17 MB malloc, 15 MB malloc, 17 MB malloc, 19 MB malloc, 18 MB malloc, 22 MB malloc, 23 MB malloc
A355: 22 MB malloc, 23 MB malloc, 23 MB malloc, 28 MB malloc, 26 MB malloc, 28 MB malloc, 30 MB malloc, 29 MB malloc, 33 MB malloc, 34 MB malloc
A356: 30 MB malloc, 33 MB malloc, 29 MB malloc, 38 MB malloc, 36 MB malloc, 34 MB malloc, 36 MB malloc, 39 MB malloc, 43 MB malloc, 40 MB malloc
A357: 12 MB malloc, 14 MB malloc, 12 MB malloc, 19 MB malloc, 17 MB malloc, 17 MB malloc, 19 MB malloc, 20 MB malloc, 24 MB malloc, 23 MB malloc
A358: 14 MB malloc, 16 MB malloc, 14 MB malloc, 21 MB malloc, 19 MB malloc, 19 MB malloc, 21 MB malloc, 22 MB malloc, 26 MB malloc, 25 MB malloc
A359: 2 MB malloc, 7 MB malloc, -1 MB malloc, 12 MB malloc, 10 MB malloc, 4 MB malloc, 6 MB malloc, 13 MB malloc, 17 MB malloc, 10 MB malloc
A360: 2 MB malloc, 4 MB malloc, 2 MB malloc, 9 MB malloc, 7 MB malloc, 7 MB malloc, 9 MB malloc, 10 MB malloc, 14 MB malloc, 13 MB malloc
A361: 27 MB malloc, 34 MB malloc, 22 MB malloc, 39 MB malloc, 37 MB malloc, 27 MB malloc, 29 MB malloc, 40 MB malloc, 44 MB malloc, 33 MB malloc
A362: 11 MB malloc, 12 MB malloc, 12 MB malloc, 17 MB malloc, 15 MB malloc, 17 MB malloc, 19 MB malloc, 18 MB malloc, 22 MB malloc, 23 MB malloc
A363: 13 MB malloc, 14 MB malloc, 14 MB malloc, 19 MB malloc, 17 MB malloc, 19 MB malloc, 21 MB malloc, 20 MB malloc, 24 MB malloc, 25 MB malloc
A364: 24 MB malloc, 25 MB malloc, 25 MB malloc, 30 MB malloc, 28 MB malloc, 30 MB malloc, 32 MB malloc, 31 MB malloc, 35 MB malloc, 36 MB malloc
A365: 9 MB malloc, 16 MB malloc, 4 MB malloc, 21 MB malloc, 19 MB malloc, 9 MB malloc, 11 MB malloc, 22 MB malloc, 26 MB malloc, 15 MB malloc
A366: 1 MB malloc, 6 MB malloc, -2 MB malloc, 11 MB malloc, 9 MB malloc, 3 MB malloc, 5 MB malloc, 12 MB malloc, 16 MB malloc, 9 MB malloc
A367: 15 MB malloc, 16 MB malloc, 16 MB malloc, 21 MB malloc, 19 MB malloc, 21 MB malloc, 23 MB malloc, 22 MB malloc, 26 MB malloc, 27 MB malloc
A368: 26 MB malloc, 28 MB malloc, 26 MB malloc, 33 MB malloc, 31 MB malloc, 31 MB malloc, 33 MB malloc, 34 MB malloc, 38 MB malloc, 37 MB malloc
A369: 29 MB malloc, 36 MB malloc, 24 MB malloc, 41 MB malloc, 39 MB malloc, 29 MB malloc, 31 MB malloc, 42 MB malloc, 46 MB malloc, 35 MB malloc
A370: 25 MB malloc, 34 MB malloc, 18 MB malloc, 39 MB malloc, 37 MB malloc, 23 MB malloc, 25 MB malloc, 40 MB malloc, 44 MB malloc, 29 MB malloc
A371: 29 MB malloc, 36 MB malloc, 24 MB malloc, 41 MB malloc, 39 MB malloc, 29 MB malloc, 31 MB malloc, 42 MB malloc, 46 MB malloc, 35 MB malloc
A372: 7 MB malloc, 14 MB malloc, 2 MB malloc, 19 MB malloc, 17 MB malloc, 7 MB malloc, 9 MB malloc, 20 MB malloc, 24 MB malloc, 13 MB malloc
A373: 26 MB malloc, 30 MB malloc, 24 MB malloc, 35 MB malloc, 33 MB malloc, 29 MB malloc, 31 MB malloc, 36 MB malloc, 40 MB malloc, 35 MB malloc
A374: 20 MB malloc, 21 MB malloc, 21 MB malloc, 26 MB malloc, 24 MB malloc, 26 MB malloc, 28 MB malloc, 27 MB malloc, 31 MB malloc, 32 MB malloc
A375: 9 MB malloc, 10 MB malloc, 10 MB malloc, 15 MB malloc, 13 MB malloc, 15 MB malloc, 17 MB malloc, 16 MB malloc, 20 MB malloc, 21 MB malloc
A376: 6 MB malloc, 9 MB malloc, 5 MB malloc, 14 MB malloc, 12 MB malloc, 10 MB malloc, 12 MB malloc, 15 MB malloc, 19 MB malloc, 16 MB malloc
A377: 29 MB malloc, 30 MB malloc, 30 MB malloc, 35 MB malloc, 33 MB malloc, 35 MB malloc, 37 MB malloc, 36 MB malloc, 40 MB malloc, 41 MB malloc
A378: 25 MB malloc, 30 MB malloc, 22 MB malloc, 35 MB malloc, 33 MB malloc, 27 MB malloc, 29 MB malloc, 36 MB malloc, 40 MB malloc, 33 MB malloc
A379: 13 MB malloc, 14 MB malloc, 14 MB malloc, 19 MB malloc, 17 MB malloc, 19 MB malloc, 21 MB malloc, 20 MB malloc, 24 MB malloc, 25 MB malloc
A380: 13 MB malloc, 17 MB malloc, 11 MB malloc, 22 MB malloc, 20 MB malloc, 16 MB malloc, 18 MB malloc, 23 MB malloc, 27 MB malloc, 22 MB malloc
A381: 17 MB malloc, 19 MB malloc, 17 MB malloc, 24 MB malloc, 22 MB malloc, 22 MB malloc, 24 MB malloc, 25 MB malloc, 29 MB malloc, 28 MB malloc
A382: 20 MB malloc, 22 MB malloc, 20 MB malloc, 27 MB malloc, 25 MB malloc, 25 MB malloc, 27 MB malloc, 28 MB malloc, 32 MB malloc, 31 MB malloc
A383: 14 MB malloc, 15 MB malloc, 15 MB malloc, 20 MB malloc, 18 MB malloc, 20 MB malloc, 22 MB malloc, 21 MB malloc, 25 MB malloc, 26 MB malloc
A384: 19 MB malloc, 26 MB malloc, 14 MB malloc, 31 MB malloc, 29 MB malloc, 19 MB malloc, 21 MB malloc, 32 MB malloc, 36 MB malloc, 25 MB malloc
A385: 13 MB malloc, 17 MB malloc, 11 MB malloc, 22 MB malloc, 20 MB malloc, 16 MB malloc, 18 MB malloc, 23 MB malloc, 27 MB malloc, 22 MB malloc
A386: 8 MB malloc, 9 MB malloc, 9 MB malloc, 14 MB malloc, 12 MB malloc, 14 MB malloc, 16 MB malloc, 15 MB malloc, 19 MB malloc, 20 MB malloc
A387: 10 MB malloc, 13 MB malloc, 9 MB malloc, 18 MB malloc, 16 MB malloc, 14 MB malloc, 16 MB malloc, 19 MB malloc, 23 MB malloc, 20 MB malloc
A388: 22 MB malloc, 29 MB malloc, 17 MB malloc, 34 MB malloc, 32 MB malloc, 22 MB malloc, 24 MB malloc, 35 MB malloc, 39 MB malloc, 28 MB malloc
A389: 4 MB malloc, 6 MB malloc, 4 MB malloc, 11 MB malloc, 9 MB malloc, 9 MB malloc, 11 MB malloc, 12 MB malloc, 16 MB malloc, 15 MB malloc
A390: 14 MB malloc, 22 MB malloc, 8 MB malloc, 27 MB malloc, 25 MB malloc, 13 MB malloc, 15 MB malloc, 28 MB malloc, 32 MB malloc, 19 MB malloc
A391: 8 MB malloc, 9 MB malloc, 9 MB malloc, 14 MB malloc, 12 MB malloc, 14 MB malloc, 16 MB malloc, 15 MB malloc, 19 MB malloc, 20 MB malloc
A392: 30 MB malloc, 31 MB malloc, 31 MB malloc, 36 MB malloc, 34 MB malloc, 36 MB malloc, 38 MB malloc, 37 MB malloc, 41 MB malloc, 42 MB malloc
A393: 29 MB malloc, 31 MB malloc, 29 MB malloc, 36 MB malloc, 34 MB malloc, 34 MB malloc, 36 MB malloc, 37 MB malloc, 41 MB malloc, 40 MB malloc
A394: 18 MB malloc, 19 MB malloc, 19 MB malloc, 24 MB malloc, 22 MB malloc, 24 MB malloc, 26 MB malloc, 25 MB malloc, 29 MB malloc, 30 MB malloc
A395: 12 MB malloc, 15 MB malloc, 11 MB malloc, 20 MB malloc, 18 MB malloc, 16 MB malloc, 18 MB malloc, 21 MB malloc, 25 MB malloc, 22 MB malloc
A396: 16 MB malloc, 18 MB malloc, 16 MB malloc, 23 MB malloc, 21 MB malloc, 21 MB malloc, 23 MB malloc, 24 MB malloc, 28 MB malloc, 27 MB malloc
A397: 13 MB malloc, 16 MB malloc, 12 MB malloc, 21 MB malloc, 19 MB malloc, 17 MB malloc, 19 MB malloc, 22 MB malloc, 26 MB malloc, 23 MB malloc
A398: 2 MB malloc, 6 MB malloc, 0 MB malloc, 11 MB malloc, 9 MB malloc, 5 MB malloc, 7 MB malloc, 12 MB malloc, 16 MB malloc, 11 MB malloc
A399: 9 MB malloc, 10 MB malloc, 10 MB malloc, 15 MB malloc, 13 MB malloc, 15 MB malloc, 17 MB malloc, 16 MB malloc, 20 MB malloc, 21 MB malloc
A400: 28 MB malloc, 32 MB malloc, 26 MB malloc, 37 MB malloc, 35 MB malloc, 31 MB malloc, 33 MB malloc, 38 MB malloc, 42 MB malloc, 37 MB malloc
A401: 22 MB malloc, 30 MB malloc, 16 MB malloc, 35 MB malloc, 33 MB malloc, 21 MB malloc, 23 MB malloc, 36 MB malloc, 40 MB malloc, 27 MB malloc
A402: 6 MB malloc, 9 MB malloc, 5 MB malloc, 14 MB malloc, 12 MB malloc, 10 MB malloc, 12 MB malloc, 15 MB malloc, 19 MB malloc, 16 MB malloc
A403: 22 MB malloc, 24 MB malloc, 22 MB malloc, 29 MB malloc, 27 MB malloc, 27 MB malloc, 29 MB malloc, 30 MB malloc, 34 MB malloc, 33 MB malloc
A404: 10 MB malloc, 14 MB malloc, 8 MB malloc, 19 MB malloc, 17 MB malloc, 13 MB malloc, 15 MB malloc, 20 MB malloc, 24 MB malloc, 19 MB malloc
A405: 12 MB malloc, 13 MB malloc, 13 MB malloc, 18 MB malloc, 16 MB malloc, 18 MB malloc, 20 MB malloc, 19 MB malloc, 23 MB malloc, 24 MB malloc
A406: 27 MB malloc, 28 MB malloc, 28 MB malloc, 33 MB malloc, 31 MB malloc, 33 MB malloc, 35 MB malloc, 34 MB malloc, 38 MB malloc, 39 MB malloc
A407: 24 MB malloc, 27 MB malloc, 23 MB malloc, 32 MB malloc, 30 MB malloc, 28 MB malloc, 30 MB malloc, 33 MB malloc, 37 MB malloc, 34 MB malloc
A408: 10 MB malloc, 18 MB malloc, 4 MB malloc, 23 MB malloc, 21 MB malloc, 9 MB malloc, 11 MB malloc, 24 MB malloc, 28 MB malloc, 15 MB malloc
A409: 11 MB malloc, 12 MB malloc, 12 MB malloc, 17 MB malloc, 15 MB malloc, 17 MB malloc, 19 MB malloc, 18 MB malloc, 22 MB malloc, 23 MB malloc
A410: 14 MB malloc, 19 MB malloc, 11 MB malloc, 24 MB malloc, 22 MB malloc, 16 MB malloc, 18 MB malloc, 25 MB malloc, 29 MB malloc, 22 MB malloc
A411: 30 MB malloc, 32 MB malloc, 30 MB malloc, 37 MB malloc, 35 MB malloc, 35 MB malloc, 37 MB malloc, 38 MB malloc, 42 MB malloc, 41 MB malloc
A412: 24 MB malloc, 26 MB malloc, 24 MB malloc, 31 MB malloc, 29 MB malloc, 29 MB malloc, 31 MB malloc, 32 MB malloc, 36 MB malloc, 35 MB malloc
A413: 5 MB malloc, 6 MB malloc, 6 MB malloc, 11 MB malloc, 9 MB malloc, 11 MB malloc, 13 MB malloc, 12 MB malloc, 16 MB malloc, 17 MB malloc
A414: 3 MB malloc, 7 MB malloc, 1 MB malloc, 12 MB malloc, 10 MB malloc, 6 MB malloc, 8 MB malloc, 13 MB malloc, 17 MB malloc, 12 MB malloc
A415: 21 MB malloc, 26 MB malloc, 18 MB malloc, 31 MB malloc, 29 MB malloc, 23 MB malloc, 25 MB malloc, 32 MB malloc, 36 MB malloc, 29 MB malloc
A416: 3 MB malloc, 9 MB malloc, -1 MB malloc, 14 MB malloc, 12 MB malloc, 4 MB malloc, 6 MB malloc, 15 MB malloc, 19 MB malloc, 10 MB malloc
A417: 14 MB malloc, 15 MB malloc, 15 MB malloc, 20 MB malloc, 18 MB malloc, 20 MB malloc, 22 MB malloc, 21 MB malloc, 25 MB malloc, 26 MB malloc
A418: 14 MB malloc, 17 MB malloc, 13 MB malloc, 22 MB malloc, 20 MB malloc, 18 MB malloc, 20 MB malloc, 23 MB malloc, 27 MB malloc, 24 MB malloc
A419: 24 MB malloc, 26 MB malloc, 24 MB malloc, 31 MB malloc, 29 MB malloc, 29 MB malloc, 31 MB malloc, 32 MB malloc, 36 MB malloc, 35 MB malloc
A420: 27 MB malloc, 31 MB malloc, 25 MB malloc, 36 MB malloc, 34 MB malloc, 30 MB malloc, 32 MB malloc, 37 MB malloc, 41 MB malloc, 36 MB malloc
A421: 10 MB malloc, 16 MB malloc, 6 MB malloc, 21 MB malloc, 19 MB malloc, 11 MB malloc, 13 MB malloc, 22 MB malloc, 26 MB malloc, 17 MB malloc
A422: 16 MB malloc, 18 MB malloc, 16 MB malloc, 23 MB malloc, 21 MB malloc, 21 MB malloc, 23 MB malloc, 24 MB malloc, 28 MB malloc, 27 MB malloc
A423: 28 MB malloc, 29 MB malloc, 29 MB malloc, 34 MB malloc, 32 MB malloc, 34 MB malloc, 36 MB malloc, 35 MB malloc, 39 MB malloc, 40 MB malloc
A424: 17 MB malloc, 21 MB malloc, 15 MB malloc, 26 MB malloc, 24 MB malloc, 20 MB malloc, 22 MB malloc, 27 MB malloc, 31 MB malloc, 26 MB malloc
A425: 30 MB malloc, 34 MB malloc, 28 MB malloc, 39 MB malloc, 37 MB malloc, 33 MB malloc, 35 MB malloc, 40 MB malloc, 44 MB malloc, 39 MB malloc
A426: 5 MB malloc, 9 MB malloc, 3 MB malloc, 14 MB malloc, 12 MB malloc, 8 MB malloc, 10 MB malloc, 15 MB malloc, 19 MB malloc, 14 MB malloc
A427: 14 MB malloc, 22 MB malloc, 8 MB malloc, 27 MB malloc, 25 MB malloc, 13 MB malloc, 15 MB malloc, 28 MB malloc, 32 MB malloc, 19 MB malloc
A428: 23 MB malloc, 24 MB malloc, 24 MB malloc, 29 MB malloc, 27 MB malloc, 29 MB malloc, 31 MB malloc, 30 MB malloc, 34 MB malloc, 35 MB malloc
A429: 18 MB malloc, 27 MB malloc, 11 MB malloc, 32 MB malloc, 30 MB malloc, 16 MB malloc, 18 MB malloc, 33 MB malloc, 37 MB malloc, 22 MB malloc
A430: 14 MB malloc, 24 MB malloc, 6 MB malloc, 29 MB malloc, 27 MB malloc, 11 MB malloc, 13 MB malloc, 30 MB malloc, 34 MB malloc, 17 MB malloc
A431: 23 MB malloc, 28 MB malloc, 20 MB malloc, 33 MB malloc, 31 MB malloc, 25 MB malloc, 27 MB malloc, 34 MB malloc, 38 MB malloc, 31 MB malloc
A432: 29 MB malloc, 33 MB malloc, 27 MB malloc, 38 MB malloc, 36 MB malloc, 32 MB malloc, 34 MB malloc, 39 MB malloc, 43 MB malloc, 38 MB malloc
A433: 15 MB malloc, 18 MB malloc, 14 MB malloc, 23 MB malloc, 21 MB malloc, 19 MB malloc, 21 MB malloc, 24 MB malloc, 28 MB malloc, 25 MB malloc
A434: 3 MB malloc, 6 MB malloc, 2 MB malloc, 11 MB malloc, 9 MB malloc, 7 MB malloc, 9 MB malloc, 12 MB malloc, 16 MB malloc, 13 MB malloc
A435: 25 MB malloc, 29 MB malloc, 23 MB malloc, 34 MB malloc, 32 MB malloc, 28 MB malloc, 30 MB malloc, 35 MB malloc, 39 MB malloc, 34 MB malloc
A436: 25 MB malloc, 33 MB malloc, 19 MB malloc, 38 MB malloc, 36 MB malloc, 24 MB malloc, 26 MB malloc, 39 MB malloc, 43 MB malloc, 30 MB malloc
A437: 7 MB malloc, 11 MB malloc, 5 MB malloc, 16 MB malloc, 14 MB malloc, 10 MB malloc, 12 MB malloc, 17 MB malloc, 21 MB malloc, 16 MB malloc
A438: 30 MB malloc, 31 MB malloc, 31 MB malloc, 36 MB malloc, 34 MB malloc, 36 MB malloc, 38 MB malloc, 37 MB malloc, 41 MB malloc, 42 MB malloc
A439: 2 MB malloc, 9 MB malloc, -3 MB malloc, 14 MB malloc, 12 MB malloc, 2 MB malloc, 4 MB malloc, 15 MB malloc, 19 MB malloc, 8 MB malloc
A440: 23 MB malloc, 25 MB malloc, 23 MB malloc, 30 MB malloc, 28 MB malloc, 28 MB malloc, 30 MB malloc, 31 MB malloc, 35 MB malloc, 34 MB malloc
A441: 28 MB malloc, 32 MB malloc, 26 MB malloc, 37 MB malloc, 35 MB malloc, 31 MB malloc, 33 MB malloc, 38 MB malloc, 42 MB malloc, 37 MB malloc
A442: 18 MB malloc, 19 MB malloc, 19 MB malloc, 24 MB malloc, 22 MB malloc, 24 MB malloc, 26 MB malloc, 25 MB malloc, 29 MB malloc, 30 MB malloc
A443: 12 MB malloc, 13 MB malloc, 13 MB malloc, 18 MB malloc, 16 MB malloc, 18 MB malloc, 20 MB malloc, 19 MB malloc, 23 MB malloc, 24 MB malloc
A444: 13 MB malloc, 15 MB malloc, 13 MB malloc, 20 MB malloc, 18 MB malloc, 18 MB malloc, 20 MB malloc, 21 MB malloc, 25 MB malloc, 24 MB malloc
A445: 19 MB malloc, 24 MB malloc, 16 MB malloc, 29 MB malloc, 27 MB malloc, 21 MB malloc, 23 MB malloc, 30 MB malloc, 34 MB malloc, 27 MB malloc
A446: 25 MB malloc, 26 MB malloc, 26 MB malloc, 31 MB malloc, 29 MB malloc, 31 MB malloc, 33 MB malloc, 32 MB malloc, 36 MB malloc, 37 MB malloc
A447: 30 MB malloc, 31 MB malloc, 31 MB malloc, 36 MB malloc, 34 MB malloc, 36 MB malloc, 38 MB malloc, 37 MB malloc, 41 MB malloc, 42 MB malloc
